iter	Logloss
0	0.6871588812
1	0.6812565428
2	0.6755621779
3	0.6699888168
4	0.6651041702
5	0.6607588316
6	0.6555761795
7	0.6514420029
8	0.6468316981
9	0.6429055793
10	0.6390281182
11	0.6356673443
12	0.6326764165
13	0.6300752531
14	0.6273968432
15	0.6246294858
16	0.6218073722
17	0.6190495283
18	0.6171589608
19	0.6140015301
20	0.6114968616
21	0.6087518866
22	0.6055562393
23	0.6034905187
24	0.6009614877
25	0.5989068665
26	0.59701259
27	0.5954494321
28	0.5942545003
29	0.5926345399
30	0.5903824463
31	0.5890653502
32	0.586318828
33	0.5849067715
34	0.582299452
35	0.5810620368
36	0.5798330964
37	0.5787343005
38	0.576951667
39	0.5755135062
40	0.5735798226
41	0.5721213257
42	0.5709763009
43	0.5690948655
44	0.5681618672
45	0.5669703047
46	0.5660895482
47	0.5652434136
48	0.5635858125
49	0.562368805
50	0.5606602775
51	0.5596203165
52	0.5583645473
53	0.5573788018
54	0.5563569949
55	0.5547561589
56	0.5535095806
57	0.5523047741
58	0.5509988159
59	0.5501556125
60	0.5492999238
61	0.5485540605
62	0.5477518873
63	0.5467778812
64	0.5460882968
65	0.5447821591
66	0.544244282
67	0.5434393733
68	0.5422413128
69	0.5414286686
70	0.5408389729
71	0.5397635019
72	0.5379089616
73	0.5367139818
74	0.5358550788
75	0.5352489868
76	0.5345879057
77	0.5335281247
78	0.5326306118
79	0.5319622494
80	0.531116397
81	0.5303463197
82	0.5297807504
83	0.5290751833
84	0.5282670571
85	0.5273028434
86	0.526497986
87	0.5261225876
88	0.5250054848
89	0.5242349266
90	0.523230092
91	0.522659261
92	0.5221110497
93	0.5215392399
94	0.5206938662
95	0.5194845129
96	0.5181293946
97	0.5169483918
98	0.5160031658
99	0.5151938524
100	0.5146232372
101	0.5136113147
102	0.5131528866
103	0.5127613547
104	0.5117748697
105	0.5104606845
106	0.5091404553
107	0.5085047487
108	0.5071687955
109	0.5069542524
110	0.5063377236
111	0.5050984854
112	0.5046148665
113	0.503864013
114	0.503213669
115	0.5023828141
116	0.5014925494
117	0.5012270436
118	0.5006939196
119	0.5001265091
120	0.4993485372
121	0.4989115608
122	0.4981926353
123	0.4976979257
124	0.4970183069
125	0.4964036876
126	0.4955027029
127	0.4944815703
128	0.4938404428
129	0.4934024394
130	0.4927037016
131	0.4923168736
132	0.4915868905
133	0.4910253562
134	0.4905752426
135	0.4899571045
136	0.489568679
137	0.4887137736
138	0.4874903514
139	0.487192472
140	0.4869913439
141	0.4866791626
142	0.4859847504
143	0.4857095398
144	0.4851024391
145	0.484444442
146	0.4839684549
147	0.4833863974
148	0.4831051579
149	0.4823873374
150	0.481731721
151	0.4810527765
152	0.4806335577
153	0.4799630133
154	0.4791797123
155	0.478747319
156	0.4783709503
157	0.4781043322
158	0.4778472308
159	0.4772358472
160	0.4760269577
161	0.4753035795
162	0.4749542586
163	0.4747674389
164	0.4742041809
165	0.4733798454
166	0.4724901043
167	0.4719725142
168	0.4717088422
169	0.4714411021
170	0.4712481005
171	0.4709387585
172	0.4699942366
173	0.4691284039
174	0.4685797662
175	0.468369988
176	0.4676592447
177	0.4672750283
178	0.4666976533
179	0.4662870174
180	0.4656596553
181	0.4650890968
182	0.4648413723
183	0.4645632018
184	0.4641709518
185	0.4637787189
186	0.4635314015
187	0.4631154409
188	0.4626428401
189	0.4620909839
190	0.4618980882
191	0.4612370327
192	0.4606726015
193	0.4595969916
194	0.4588927612
195	0.4583696359
196	0.4576720687
197	0.4575160876
198	0.4570681385
199	0.4564703445
200	0.4559458365
201	0.4554575372
202	0.4548540606
203	0.4543892723
204	0.4540840341
205	0.453841
206	0.4535075033
207	0.4530418526
208	0.452488791
209	0.451981159
210	0.4514822979
211	0.4506044886
212	0.4500219652
213	0.4494020485
214	0.4491310102
215	0.4484102158
216	0.44788163
217	0.4472476657
218	0.4470971285
219	0.4468151485
220	0.4466589686
221	0.446170679
222	0.4455225774
223	0.4450500349
224	0.4446022968
225	0.444122964
226	0.4435560825
227	0.4432444825
228	0.4427453308
229	0.4425828084
230	0.4423212815
231	0.442036021
232	0.4418102579
233	0.4415603283
234	0.4412333563
235	0.4407822928
236	0.440562581
237	0.4392572153
238	0.4389107657
239	0.4384529782
240	0.4381288801
241	0.4376915195
242	0.4370982831
243	0.4362176473
244	0.4351324945
245	0.4347708166
246	0.4342130175
247	0.4334189859
248	0.4323136422
249	0.4318527211
250	0.4311118192
251	0.4305800096
252	0.4299137555
253	0.429607578
254	0.4292181769
255	0.4283089182
256	0.4279517278
257	0.4277874545
258	0.4271482312
259	0.4266920994
260	0.4261941536
261	0.4259190702
262	0.4256993125
263	0.4253398401
264	0.4248410651
265	0.4244788481
266	0.4237592868
267	0.4232870115
268	0.4230879292
269	0.4226985179
270	0.4220113993
271	0.4217561161
272	0.421504059
273	0.4211509015
274	0.4206203249
275	0.4199825912
276	0.4194302819
277	0.418914556
278	0.4186458568
279	0.4183162737
280	0.418206888
281	0.4180670681
282	0.417336314
283	0.4171256259
284	0.4166121386
285	0.4163801895
286	0.4161114049
287	0.4156833612
288	0.4155954877
289	0.4149240552
290	0.4144845153
291	0.4139590476
292	0.4132082336
293	0.4130320313
294	0.4123875586
295	0.4121476678
296	0.4116005154
297	0.4110049928
298	0.4105122905
299	0.409507233
