ds,yhat,yhat_lower,yhat_upper
2023-01-01,0.0,0.0,3.366415889086127
2023-01-08,0.2990561458530956,0.0,5.34163855059099
2023-01-15,1.4622863181740975,0.0,6.085324104153776
2023-01-22,1.2892714660427904,0.0,5.969312978186251
2023-01-29,0.5188156780585387,0.0,5.372811910126826
2023-02-05,0.3315482145687767,0.0,5.112053805803927
2023-02-12,0.8498342351554453,0.0,5.65398229810768
2023-02-19,1.1141465980227072,0.0,5.5403520751293245
2023-02-26,0.4563214721982931,0.0,5.259636015192828
2023-03-05,0.0,0.0,4.344210660105963
2023-03-12,0.0,0.0,3.9813244306661333
2023-03-19,0.021244948124079954,0.0,4.955895958732392
2023-03-26,0.8937234081760566,0.0,5.606061792106894
2023-04-02,0.9073343188309551,0.0,5.701729768637325
2023-04-09,0.29950055827319577,0.0,5.278833949956237
2023-04-16,0.08171565511522028,0.0,5.078055155004264
2023-04-23,0.6084997407858102,0.0,5.703039680772496
2023-04-30,1.0307818360195027,0.0,5.843413630865212
2023-05-07,0.4506372072382079,0.0,5.206775969195932
2023-05-14,0.0,0.0,4.0489674271465095
2023-05-21,0.0,0.0,4.256722175372881
2023-05-28,1.3198595681142815,0.0,6.135302498864008
2023-06-04,4.309087954658843,0.0,8.872879240967569
2023-06-11,6.263757950037789,1.4207536970682917,10.942873118225476
2023-06-18,6.2955393441235525,1.375678597684803,10.920943445335762
2023-06-25,5.535785928147851,0.9034734913788399,10.34799804840803
2023-07-02,5.706056980062048,1.2356258878129565,10.292955662031217
2023-07-09,7.080806686377086,2.343357453777336,11.571119153113347
2023-07-16,8.249572687171403,3.6783152617726156,12.72766627161866
2023-07-23,7.913019317038682,3.400297600833309,12.722951827195383
2023-07-30,6.519692356564479,1.5907245360394868,10.953554837379754
2023-08-06,5.772773278217927,1.0861469957544272,10.292522570433219
2023-08-13,6.594484986692031,1.9916985890161703,11.434509113263603
2023-08-20,7.948486608500436,3.2114078086709843,12.512673995831952
2023-08-27,7.888440268095541,3.3935264959379703,12.542354157241634
2023-09-03,5.640966427013435,1.186419988119893,10.188209625607422
2023-09-10,2.4494199563697827,0.0,6.815428350516449
2023-09-17,0.39500517750491815,0.0,5.144116473450731
2023-09-24,0.5672436614587864,0.0,5.5824732693351775
2023-10-01,2.366680977741101,0.0,6.967141930271297
2023-10-08,4.271504348940135,0.0,8.985180994188363
2023-10-15,5.013134615614441,0.25832104940725176,9.782679099199413
2023-10-22,4.1915938369690195,0.0,8.618946151507428
2023-10-29,2.2904317370338476,0.0,7.161005048565651
2023-11-05,0.43412169242154564,0.0,4.894879180201712
2023-11-12,0.0,0.0,4.349639463023621
2023-11-19,1.1738376620516515,0.0,5.911996367352082
2023-11-26,3.464687399040523,0.0,8.012421370304299
2023-12-03,4.936722504486105,0.4786825309575741,9.779381612793346
2023-12-10,4.314567364961734,0.0,9.219460653457118
2023-12-17,2.136481239176133,0.0,7.089120349976896
2023-12-24,0.3421091269589578,0.0,5.467374573181369
2023-12-31,0.4121251007846194,0.0,5.118055074724563
2024-01-07,1.9656332794028128,0.0,6.788608636159017
2024-01-14,3.3243313118229145,0.0,7.949962279970748
2024-01-21,3.3753286666313294,0.0,8.163908760876778
2024-01-28,2.6139509246341723,0.0,7.610897644993307
2024-02-04,2.271545731095812,0.0,6.972993732336452
2024-02-11,2.7170257837477454,0.0,7.499070148572832
2024-02-18,3.1046661853116664,0.0,7.748352663077856
2024-02-25,2.605786554538464,0.0,7.167908213074887
2024-03-03,1.5764931985708688,0.0,6.254795245937314
2024-03-10,1.1529780017863827,0.0,6.045187544455371
2024-03-17,1.8116763343205626,0.0,6.728667096838805
2024-03-24,2.7608884646075813,0.0,7.513355823061178
2024-03-31,2.94957608777755,0.0,7.756563648262363
2024-04-07,2.3832849756848455,0.0,7.035145770085105
2024-04-14,2.0337905924209814,0.0,6.545554724456676
2024-04-21,2.462148199416685,0.0,7.300009216879315
2024-04-28,2.9911203920192024,0.0,7.451696566558174
2024-05-05,2.604339329265778,0.0,7.1665448077976395
2024-05-12,1.4877444109423248,0.0,6.278125206269202
2024-05-19,1.160440164588386,0.0,6.2183434238452975
2024-05-26,2.812602133653413,0.0,7.208298800704122
2024-06-02,5.771735454042498,1.0892837571872176,10.766313330441884
2024-06-09,8.034334804997666,3.2059944427998515,12.556653008384224
2024-06-16,8.377629084578519,3.549253653709283,13.041565310906915
2024-06-23,7.619215901783221,2.605506133819999,12.435733865869917
2024-06-30,7.543819735053486,2.9133623926979757,12.465946661033444
2024-07-07,8.774402995997487,4.035866874541476,13.729268195182119
2024-07-14,10.108495116465527,5.267856271709004,14.637756805126255
2024-07-21,10.066103296027798,5.5440817166477,14.809544530612136
2024-07-28,8.749190940772458,3.7326641683435704,13.47853764889323
2024-08-04,7.769818337879921,3.1777413315854974,12.391260431007982
2024-08-11,8.332304859524903,3.7071143070692547,13.252875264955467
2024-08-18,9.735752935073892,5.237699084494575,14.568424809986782
2024-08-25,10.042115619137045,5.186256620207371,14.907006625621271
2024-09-01,8.14675953534499,3.205150877162204,12.842279133962148
2024-09-08,4.969377778894606,0.42842705566595013,9.563645039830464
2024-09-15,2.5846594024912535,0.0,7.331625819595347
2024-09-22,2.3581675609715287,0.0,7.135410842808945
2024-09-29,3.9687720411404777,0.0,8.735271465715158
2024-10-06,5.967620417411961,1.2682288080499697,10.804475953321214
2024-10-13,6.973884105777895,2.2042350068989656,11.581648687967965
2024-10-20,6.419191783774159,1.604457691923818,11.379569995543678
2024-10-27,4.642307675153976,0.1002147498330644,9.41217293045746
2024-11-03,2.6798606884064773,0.0,7.374890128987564
2024-11-10,1.8220721907677957,0.0,6.372383278627882
2024-11-17,2.804128591592941,0.0,7.50834733719427
2024-11-24,5.037689130484106,0.01638636210342855,9.570008918483417
2024-12-01,6.788161792584082,1.9304300576070863,11.367559886801228
2024-12-08,6.559089226765801,1.7316686934960972,11.047672162219055
2024-12-15,4.536917946345726,0.0,9.333361585847419
2024-12-22,2.525113743367523,0.0,7.120917488786645
2024-12-29,2.231417644707194,0.0,6.519518555637018
2025-01-05,3.627980188566162,0.0,8.361000231214486
2025-01-12,5.143409557826547,0.4221360506023411,9.942979063862154
2025-01-19,5.43686201215129,0.9130897837135035,10.090096623698214
2025-01-26,4.728675199047115,0.038892788169589805,9.031569135838287
2025-02-02,4.243836212191745,0.0,9.239400632422551
2025-02-09,4.585557443659021,0.0,9.129593561505414
2025-02-16,5.066343933771113,0.438765858080295,9.864693540882342
2025-02-23,4.73893489580261,0.0,9.403050013568556
2025-03-02,3.7258079423272177,0.0,8.31449145743056
