dataset,freq,n_periods,mean_y,prophet_mae,prophet_rmse,naive_mae,snaive_mae,cv_mae,prophet_beats_naive,prophet_beats_snaive
3_years_data.csv,W,158,3.8544303797468356,5.742089830439092,6.29327200018892,3.3745039682539684,5.90625,4.909852980859288,False,True
3_years_data_no2025.csv,W,106,3.6320754716981134,4.375292501798556,7.1441054796813015,3.863636363636363,5.2272727272727275,3.3607402022743713,False,True
3_years_data_until_3871_clean.csv,W,158,3.4367088607594938,5.3029756730367215,5.825277808337303,3.107638888888889,5.09375,4.530625152310435,False,False
3_years_data_no2025_3871_clean.csv,W,106,3.2452830188679247,4.101923309762483,6.3221470892554805,3.5963203463203457,4.318181818181818,3.0554904585050657,False,True
