ds,yhat,yhat_lower,yhat_upper
2023-01-01,0.0,0.0,3.6422702151558712
2023-01-08,0.9686274423138743,0.0,5.432636180999649
2023-01-15,1.9720723025789089,0.0,6.700376212142728
2023-01-22,1.5970982077838998,0.0,6.278493866273279
2023-01-29,0.7711995350834626,0.0,5.005275989006787
2023-02-05,0.3007982035224426,0.0,5.0906944363230044
2023-02-12,0.0,0.0,4.13143307929939
2023-02-19,0.5968627494945209,0.0,5.713038600016367
2023-02-26,0.33787872168202515,0.0,4.973445703600405
2023-03-05,0.0,0.0,4.27536076983184
2023-03-12,0.0,0.0,3.863406065033502
2023-03-19,0.0,0.0,4.058502798511171
2023-03-26,0.8163176359387396,0.0,5.710706064231129
2023-04-02,0.5686468211585887,0.0,5.2376409693758745
2023-04-09,0.0,0.0,4.658358505365813
2023-04-16,0.0,0.0,3.806258932035614
2023-04-23,0.4265927908553131,0.0,5.040286386790204
2023-04-30,0.08442946803267581,0.0,4.369928996882635
2023-05-07,0.7623325182174514,0.0,5.5018487715138304
2023-05-14,0.0,0.0,2.96517338333452
2023-05-21,0.0,0.0,3.9334724896117748
2023-05-28,1.274295203713726,0.0,5.842956849531076
2023-06-04,4.033123339666488,0.0,8.97419839269362
2023-06-11,5.772758152281017,1.1616539605781124,10.377337465206715
2023-06-18,5.208901121552966,0.45084404201529144,9.782159924154888
2023-06-25,4.200081170834651,0.0,8.642948010417216
2023-07-02,5.635179440631767,1.1319938029576184,10.308940303472166
2023-07-09,7.38362808455554,2.773907845848981,12.024941396796962
2023-07-16,7.889298830890838,3.0862215863645077,12.678624583301255
2023-07-23,8.242663108600095,3.652456627543485,12.871404828216415
2023-07-30,6.572531757536854,1.7893381820902494,11.169077969413664
2023-08-06,5.961377997008733,1.769797580164397,10.542313908262859
2023-08-13,6.71164583338481,2.0620802386038757,10.978819373753582
2023-08-20,8.863451169221598,4.3816926869706565,13.104434422409156
2023-08-27,8.247180511770422,3.632469066356257,12.884917239403661
2023-09-03,5.264990290757968,0.29722082335377104,9.714720378157947
2023-09-10,2.217154561511987,0.0,6.657934779564303
2023-09-17,0.14344190939613677,0.0,4.61526725323991
2023-09-24,0.7037991788261642,0.0,5.297504143369187
2023-10-01,2.4680805978910136,0.0,7.405711078111398
2023-10-08,3.704355735052843,0.0,8.182067827505136
2023-10-15,5.029589770527808,0.45614777055039635,9.687192845220908
2023-10-22,4.136585958991947,0.0,8.799462764926995
2023-10-29,2.4179998742395368,0.0,6.779296155240251
2023-11-05,0.48696009727029965,0.0,5.2280631233156285
2023-11-12,0.0,0.0,4.262308857146779
2023-11-19,1.0863333082898348,0.0,5.755513601413772
2023-11-26,4.031627645425397,0.0,8.960356684188369
2023-12-03,5.7473167071484745,0.9111482786914396,10.231932990030682
2023-12-10,4.9501359192549605,0.17591913283824495,9.762150255420062
2023-12-17,2.3259361277282427,0.0,6.561249505488684
2023-12-24,0.5173353982228224,0.0,5.233996016944203
2023-12-31,0.8752982945998706,0.0,5.578183116844449
2024-01-07,2.0849773493481782,0.0,6.5209558570677215
2024-01-14,3.0052061141835558,0.0,7.421795328195454
2024-01-21,2.747385766135616,0.0,7.406805732095173
